,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
22895,XP_036834149.1,6.519249464,0.016084789,1.600435826,99,0.58440905,0.233283067
22896,XP_036834155.1,8.604669216,0.001285734,0.580981428,99,0.321503078,0.492814865
22897,XP_036834160.1,8.331569172,0.018493551,0.868921584,14.21476952,0.814071625,0.089337383
22898,XP_036834167.1,6.734236331,0.019725846,0.959850322,20.48449814,0.972466666,0.012125276
22899,XP_036834178.1,6.270723187,0.001762989,0.573530815,99,0.32082451,0.49373246
22900,XP_036834184.1,6.563413386,0.002983883,1.673410822,99,0.610521537,0.214299011
22901,XP_036834190.1,8.33967956,0.027101493,0.762544668,8.357564277,0.524253511,0.280458652
22902,XP_036834197.1,8.354477468,0.019294152,0.836154896,11.65340529,0.717535884,0.144156375
22903,XP_036834202.1,6.816018995,0.010599494,1.659075634,99,0.603892827,0.219040129
22904,XP_036834205.1,7.359520936,0.007834356,1.725321564,92.44382364,0.699006257,0.155518937
22905,XP_036834210.1,6.425655494,0.009696241,1.495139119,99,0.546659888,0.262282792
22906,XP_036834217.1,9.311108424,0.019580859,0.732197238,5.586758113,0.324491119,0.488797185
22907,XP_036834222.1,9.196284266,0.055904625,0.808868892,10.70942041,0.667157958,0.175771329
22908,XP_036834223.1,8.771832191,0.013849399,0.860154411,14.71200276,0.826848446,0.082574085
22909,XP_036834228.1,6.593288962,0.005068462,1.444061324,99,0.497499165,0.303207644
22910,XP_036834238.1,8.770225511,0.005454389,0.903054968,99,0.358424033,0.445602878
22911,XP_036834250.1,10.89492471,0.022791493,0.8153304,10.0770755,0.643813384,0.191239999
22912,XP_036834268.1,8.361383601,0.003504449,1.675134999,99,0.665845923,0.176626255
22913,XP_036834273.1,8.551813367,0.003623532,1.26748881,99,0.434409784,0.362100402
22914,XP_036834282.1,7.428017721,0.003077287,1.306465074,99,0.45087838,0.345940589
22915,XP_036834289.1,7.800236551,0.016944453,1.766314452,99,0.663033748,0.178464366
22916,XP_036834291.1,5.964717748,0.008645926,1.265565739,99,0.428538226,0.368010433
22917,XP_036834312.1,9.71293144,0.030936285,0.691862984,3.909416647,0.157129102,0.803743372
22918,XP_036834318.1,8.422758134,0.000804481,0.301520425,99,0.301462439,0.520766791
22919,XP_036834319.1,8.383675461,0.019889835,0.739201568,6.462009573,0.38967305,0.409299629
22920,XP_036834321.1,6.627768956,0.047978574,0.686075956,3.837011112,0.144976453,0.83870253
22921,XP_036834329.1,7.015548626,0.017939628,1.107684382,30.82659603,0.892694174,0.0492973
22922,XP_036834337.1,6.076967102,0.00089579,0.253396627,99,0.299403596,0.523742988
22923,XP_036834340.1,10.71257441,0.025250661,0.89451593,14.66644274,0.833460336,0.079115063
22924,XP_036834344.1,9.877883579,0.023205815,0.674856563,2.762229828,0.066540752,1.176912295
22925,XP_036834347.1,5.855445261,0.004179686,1.410337079,99,0.482219442,0.316755284
22926,XP_036834351.1,8.405020084,0.003115694,1.335890765,99,0.449767353,0.347012072
22927,XP_036834372.1,7.691329383,0.064184986,0.717219768,4.865030894,0.256507946,0.590899177
22928,XP_036834375.1,9.372830955,0.070117144,0.677166338,3.369736514,0.103777931,0.983894992
22929,XP_036834381.1,5.765304188,0.031360733,0.833500755,11.99032358,0.728847917,0.137363083
22930,XP_036834382.1,9.010221705,0.024469206,0.766848692,8.229896045,0.520533102,0.283551647
22931,XP_036834383.1,7.444717311,0.008330363,1.277218192,99,0.435187705,0.361323383
22932,XP_036834388.1,7.940658129,0.00238874,1.060661617,99,0.395202933,0.403179841
22933,XP_036834395.1,5.929446271,0.020629361,1.429827025,99,0.504032198,0.29754172
22934,XP_036834398.1,5.960331087,0.006108603,0.431956362,99,0.310296382,0.508223288
